file_name,columns,column_count,full_path
FILE_000028_bb14b9d8_new.csv,"id_internal,subscription_type,subscription_amount,extra_flag,company_id,verification_status,category_code,listing_type,slug,short_description,long_description,data_col_13,contact_first_name,contact_last_name,designation,data_col_17,data_col_18,data_col_19,email_1,email_2,data_col_22,data_col_23,company_name,country,country_code,address_line_1,address_line_2,city,locality,data_col_31,state_id,state,city_id,pincode,website,country_dial_code,area_code,landline_1,amount,mobile_1,mobile_2,phone_number,amount_1,amount_2,phone_number_1,amount_3,data_col_50,data_col_51,verification_method,trust_score,indiamart_url,phone_number_2,phone_number_3,phone_number_4,phone_number_5,phone_number_6,data_col_65,phone_number_7,data_col_67,data_col_68,data_col_69,data_col_70,data_col_71,data_col_72,data_col_73,amount_4,date",67,C:\programs\700GB Cleaning Shi\Sample\Sorted\csv\schema\FILE_000028_bb14b9d8_new.csv
FILE_000003_10d62e7f_new.csv,"serial_number,filename,file_type,file_path,has_header,header_confidence,needs_llm_review,detection_reason,schema,generated_headers",10,C:\programs\700GB Cleaning Shi\Sample\Sorted\csv\schema\FILE_000003_10d62e7f_new.csv
FILE_000034_1ec41c31_new.csv,"id_internal,subscription_type,subscription_amount,extra_flag,company_id,verification_status,category_code,listing_type,slug,short_description,long_description,data_col_13,contact_first_name,contact_last_name,designation,data_col_17,data_col_18,data_col_19,email_1,email_2,data_col_22,data_col_23,company_name,country,country_code,address_line_1,address_line_2,city,locality,data_col_31,state_id,state,city_id,pincode,website,country_dial_code,area_code,landline_1,amount,mobile_1,mobile_2,phone_number,amount_1,amount_2,id,amount_3,data_col_50,data_col_51,verification_method,trust_score,indiamart_url,phone_number_1,phone_number_2,phone_number_3,phone_number_4,phone_number_5,data_col_65,phone_number_6,data_col_67,data_col_68,url,data_col_70,data_col_71,data_col_72,data_col_73,amount_4,data_col_75",67,C:\programs\700GB Cleaning Shi\Sample\Sorted\csv\schema\FILE_000034_1ec41c31_new.csv
FILE_000020_a6e9030d_new.csv,"id_internal,subscription_type,subscription_amount,extra_flag,company_id,verification_status,category_code,listing_type,slug,short_description,long_description,data_col_13,contact_first_name,contact_last_name,designation,data_col_17,data_col_18,data_col_19,email_1,email_2,data_col_22,data_col_23,company_name,country,country_code,address_line_1,address_line_2,city,locality,full_name,state_id,state,city_id,pincode,website,country_dial_code,area_code,landline_1,amount,mobile_1,mobile_2,phone_number,amount_1,amount_2,phone_number_1,amount_3,data_col_50,data_col_51,verification_method,trust_score,indiamart_url,phone_number_2,phone_number_3,phone_number_4,phone_number_5,phone_number_6,data_col_65,phone_number_7,data_col_67,data_col_68,data_col_69,data_col_70,data_col_71,data_col_72,data_col_73,amount_4,data_col_75",67,C:\programs\700GB Cleaning Shi\Sample\Sorted\csv\schema\FILE_000020_a6e9030d_new.csv
FILE_000006_1fc8333e_new.csv,"Company,Contact Person,Email,Address,Tel no.,Product/Service ",6,C:\programs\700GB Cleaning Shi\Sample\Sorted\csv\schema\FILE_000006_1fc8333e_new.csv
FILE_000011_5895083a_new.csv,"id_internal,subscription_type,subscription_amount,extra_flag,company_id,verification_status,category_code,listing_type,slug,short_description,long_description,Column_13,contact_first_name,contact_last_name,designation,Column_17,alt_first_name,alt_last_name,email_1,email_2,Column_22,Column_23,company_name,country,country_code,address_line_1,address_line_2,city,locality,landmark,state_id,state,city_id,pincode,website,country_dial_code,area_code,landline_1,Column_41,mobile_1,mobile_2,phone_number,alt_country_code,Column_47,Column_48,alt_country_code_2,Column_50,Column_51,verification_method,trust_score,indiamart_url,phone_number_alt_1,Column_57,mobile_alt_1,phone_number_alt_2,Column_64,Column_65,phone_number_alt_3,full_address,city_state_pincode,profile_image_url,last_updated,some_flag,amount_3,Column_73,amount_4,date",67,C:\programs\700GB Cleaning Shi\Sample\Sorted\csv\schema\FILE_000011_5895083a_new.csv
FILE_000004_28d0e73e_new.csv,"contact_person,company_name,col_24,city_1,pincode_1,col_40",6,C:\programs\700GB Cleaning Shi\Sample\Sorted\csv\schema\FILE_000004_28d0e73e_new.csv
FILE_000031_0f29046c_new.csv,"id_internal,subscription_type,subscription_amount,extra_flag,company_id,verification_status,category_code,listing_type,slug,short_description,long_description,data_col_13,contact_first_name,contact_last_name,designation,data_col_17,data_col_18,data_col_19,email_1,email_2,company_name,country,country_code,address_line_1,address_line_2,city,locality,data_col_31,state_id,state,city_id,pincode,website,country_dial_code,area_code,landline_1,data_col_41,mobile_1,mobile_2,phone_number,amount,data_col_47,data_col_48,amount_1,data_col_50,data_col_51,verification_method,trust_score,indiamart_url,data_col_56,data_col_57,phone_number_1,phone_number_2,data_col_64,data_col_65,phone_number_3,data_col_67,data_col_68,data_col_69,data_col_70,data_col_71,amount_2,data_col_73,amount_3,data_col_75",65,C:\programs\700GB Cleaning Shi\Sample\Sorted\csv\schema\FILE_000031_0f29046c_new.csv
FILE_000012_ab8806a8_new.csv,"id_internal,subscription_type,subscription_amount,extra_flag,company_id,verification_status,category_code,listing_type,slug,short_description,long_description,Column_13,contact_first_name,contact_last_name,designation,Column_17,alt_first_name,alt_last_name,email_1,email_2,Column_22,Column_23,company_name,country,country_code,address_line_1,address_line_2,city,locality,landmark,state_id,state,city_id,pincode,website,country_dial_code,area_code,landline_1,alt_area_code,landline_2,mobile_2,phone_number,alt_country_code,Column_47,Column_48,alt_country_code_2,Column_50,Column_51,verification_method,trust_score,indiamart_url,phone_number_alt_1,phone_number_alt_2,mobile_alt_1,phone_number_alt_3,Column_64,Column_65,phone_number_alt_4,full_address,city_state_pincode,profile_image_url,last_updated,some_flag,amount_3,Column_73,amount_4,date",67,C:\programs\700GB Cleaning Shi\Sample\Sorted\csv\schema\FILE_000012_ab8806a8_new.csv
FILE_000036_e13f9fca_new.csv,"id_internal,subscription_type,subscription_amount,extra_flag,company_id,verification_status,category_code,listing_type,slug,short_description,long_description,data_col_13,contact_first_name,contact_last_name,designation,data_col_17,data_col_18,data_col_19,email_1,email_2,data_col_22,data_col_23,company_name,country,country_code,address_line_1,address_line_2,city,locality,data_col_31,state_id,state,city_id,pincode,website,country_dial_code,area_code,landline_1,data_col_41,mobile_1,mobile_2,phone_number,amount,data_col_47,data_col_48,amount_1,data_col_50,data_col_51,verification_method,trust_score,indiamart_url,data_col_56,data_col_57,phone_number_1,phone_number_2,data_col_64,data_col_65,phone_number_3,data_col_67,data_col_68,url,data_col_70,data_col_71,amount_2,data_col_73,amount_3,date",67,C:\programs\700GB Cleaning Shi\Sample\Sorted\csv\schema\FILE_000036_e13f9fca_new.csv
FILE_000016_cec748ce_new.csv,"id_internal,subscription_type,subscription_amount,extra_flag,company_id,verification_status,category_code,listing_type,slug,short_description,long_description,data_col_13,contact_first_name,contact_last_name,designation,data_col_17,data_col_18,data_col_19,email_1,email_2,company_name,country,country_code,address_line_1,address_line_2,city,locality,data_col_31,state_id,state,city_id,pincode,website,country_dial_code,area_code,landline_1,amount,mobile_1,mobile_2,phone_number,amount_1,data_col_47,data_col_48,amount_2,data_col_50,data_col_51,verification_method,trust_score,indiamart_url,phone_number_1,phone_number_2,phone_number_3,phone_number_4,data_col_64,data_col_65,phone_number_5,data_col_67,data_col_68,url,data_col_70,data_col_71,amount_3,data_col_73,amount_4,data_col_75",65,C:\programs\700GB Cleaning Shi\Sample\Sorted\csv\schema\FILE_000016_cec748ce_new.csv
FILE_000015_3f27d792_new.csv,"id_internal,subscription_type,subscription_amount,extra_flag,company_id,verification_status,category_code,listing_type,slug,short_description,long_description,data_col_13,contact_first_name,contact_last_name,designation,data_col_17,data_col_18,data_col_19,email_1,email_2,data_col_22,data_col_23,company_name,country,country_code,address_line_1,address_line_2,city,locality,data_col_31,state_id,state,city_id,pincode,website,country_dial_code,area_code,landline_1,data_col_40,amount,mobile_1,mobile_2,phone_number,amount_1,amount_2,phone_number_1,amount_3,data_col_50,data_col_51,verification_method,trust_score,indiamart_url,phone_number_2,phone_number_3,phone_number_4,phone_number_5,phone_number_6,data_col_65,phone_number_7,data_col_67,data_col_68,url,data_col_70,data_col_71,data_col_72,data_col_73,amount_4,data_col_75",68,C:\programs\700GB Cleaning Shi\Sample\Sorted\csv\schema\FILE_000015_3f27d792_new.csv
FILE_000039_1338f4b6_new.csv,"id_internal,subscription_type,subscription_amount,extra_flag,company_id,verification_status,category_code,listing_type,slug,short_description,long_description,data_col_13,contact_first_name,contact_last_name,designation,data_col_17,data_col_18,data_col_19,email_1,email_2,data_col_22,data_col_23,company_name,country,country_code,address_line_1,address_line_2,city,locality,data_col_31,state_id,state,city_id,pincode,website,country_dial_code,area_code,landline_1,amount,mobile_1,mobile_2,phone_number,amount_1,amount_2,phone_number_1,amount_3,verification_method,trust_score,indiamart_url,phone_number_2,phone_number_3,phone_number_4,phone_number_5,phone_number_6,phone_number_7,data_col_67,data_col_68,data_col_69,data_col_70,data_col_71,data_col_72,data_col_73,amount_4,date",64,C:\programs\700GB Cleaning Shi\Sample\Sorted\csv\schema\FILE_000039_1338f4b6_new.csv
FILE_000045_6e618b15_new.csv,"id_internal,subscription_type,subscription_amount,extra_flag,company_id,verification_status,category_code,listing_type,slug,short_description,long_description,data_col_13,contact_first_name,contact_last_name,designation,data_col_17,data_col_18,data_col_19,email_1,email_2,data_col_22,data_col_23,company_name,country,country_code,address_line_1,address_line_2,city,locality,data_col_31,state_id,state,city_id,pincode,website,country_dial_code,area_code,landline_1,data_col_40,data_col_41,mobile_1,mobile_2,phone_number,amount,data_col_47,data_col_48,amount_1,data_col_50,data_col_51,verification_method,trust_score,indiamart_url,data_col_56,data_col_57,phone_number_1,phone_number_2,data_col_64,data_col_65,phone_number_3,data_col_67,data_col_68,url,data_col_70,data_col_71,amount_2,data_col_73,amount_3,data_col_75",68,C:\programs\700GB Cleaning Shi\Sample\Sorted\csv\schema\FILE_000045_6e618b15_new.csv
FILE_000007_0914c0de_new.csv,"Name ,Address ,Tel (*) ,Fax (*) ,e-mail/ Web Page ,Remarks ",6,C:\programs\700GB Cleaning Shi\Sample\Sorted\csv\schema\FILE_000007_0914c0de_new.csv
